"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","experiment_date","prolific_id_last4","study_id","session_id","version","condition","schedule","sp1Points","sp1Dollars","sp2Points","sp2Dollars","SP1_ball_received_T","SP1_ball_received_SP2","SP2_ball_received_T","burn_amount","task","rt","stimulus","response","question_order","correct","value","from","to","slider_start"
"true","false","[]","[]","[]","preload","0","2.0.0","4","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","2408","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","consent","2403","
    <p style = ""text-align: start; width: 900px""> You are being invited to participate in a research study titled: The Influence of Social Interactions on Decision Making.<br><br>
        This study is being done by Michael McCullough, PhD (Principal Investigator) from UC San Diego. You were selected to participate in this study because you are a representative member of the society the investigators wish to study. 
        The purpose of this research study is to explore how nonverbal social interactions affect the way people talk to themselves. Your participation in this research should last no longer than 30 minutes. If you agree to take part in this study, you will be asked to complete several surveys that ask about your feelings, beliefs, judgments, and personal background.
        Your participation in this study is completely voluntary and you can withdraw at any time. Choosing not to participate or withdrawing will result in no penalty or loss of benefits to which you are entitled. Research sometimes requires that information regarding its purpose not be shared with the research participants because its knowledge could impact the results of the research. 
        Note that none of the aspects of the research being withheld are reasonably expected to affect your willingness to take part. While the tasks you will be asked to perform for this research have been explained, the full intent of the research will not be provided until the completion of the study. At that time, you will have the opportunity to ask questions, including about the purpose of the study and the procedures used, and withdraw your data if you so choose.
        If you have questions about this project or if you have a research-related problem, you may contact the researcher(s), Michael McCullough, Ph.D., Department of Psychology, University of California, San Diego, 9500 Gilman Drive, La Jolla, CA 92093-0109 and by email at memccullough@ucsd.edu. If you have any questions concerning your rights as a research subject, you may contact the UC San Diego Office of IRB Administration at irb@ucsd.edu or 858-246-4777.
        By participating in this research, you are indicating that you are at least 18 years old, have read this consent form, and agree to participate in this research study. Please keep this consent form for your records.</p>
        <p>Do you consent?</p>","0","","","","","",""
"","","","","","html-button-response","2","2.0.0","3426","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","study_description","1017","<h2>Study Description</h2>
                 <p style=""width: 900px; text-align: start"">Thank you for agreeing to participate in this study! This study seeks to understand how social interactions influence our decision-making processes.<br><br>
                 In this study, you will play a virtual ball-tossing game with two other participants. The game is designed to simulate social interactions and observe how they affect how you make decisions towards other people.<br><br>
                 The instructions for the game will be provided in the next section. To ensure that everyone understands the rules, there will be a short quiz. If you get any answers wrong, don't worry—you will have the opportunity to review the instructions and retake the quiz until you get all the answers correct.<br><br>
                 Please pay close attention to the game and try to engage with the other participants as naturally as possible.</p>","0","","","","","",""
"","","","","","html-button-response","3","2.0.0","4272","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","game_instructions","845","<h2>Game Instructions</h2>
                <p style=""width: 1000px; text-align: start"">In Cyberball there are three players: Standard Player 1 (SP1), Standard Player 2 (SP2), and a Treasurer. <b>You are SP1</b>.
                <br><br>
                Your objective in Cyberball is to earn points by tossing a ball. At the end of the game, the points will be converted into a monetary bonus. Each point you earn is worth $0.05. To help you keep track of points, there will be a scoreboard displayed in the top-right corner of the screen during the game.
                <br><br>
                The way the game works is that SP1 and SP2 individually earn points by tossing the ball to the Treasurer. Each time that SP1 or SP2 tossed the ball to the Treasurer, <u>the person who tossed the ball earns one point</u>. In other words, SP1 and SP2 earn points when they get the chance to toss the ball to the Treasurer.
                So, for example, if SP1 tosses the ball to the Treasurer, SP1 will earn one point and SP2 will not earn any points. Likewise, if SP2 tosses the ball to the Treasurer, SP2 will earn one point and SP1 will not earn anything. 
                <br><br>
                Keep in mind that SP1 and SP2 cannot earn points by tossing the ball to each other. SP1 and SP2 can only earn points by tossing the ball to the Treasurer.</p>","0","","","","","",""
"","","","","","survey-multi-choice","4","2.1.0","16624","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","comprehension_quiz","12351","","{""role"":""Standard Player 1 (SP1)"",""points"":""By tossing the ball to the Treasurer"",""passing"":""Yes"",""passing_points"":""0 points""}","[0,1,2,3]","true","","","",""
"","","","","","html-button-response","5","2.0.0","18022","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","1397","<p style=""color:green; font-weight:bold"">Great! You have answered all questions correctly. Let's move on to the game.</p><p>If you need a refresh on the instructions, please click the button <i>Open Cyberball Rules</i> on the top left corner of your screen.</p>","0","","","","","",""
"","","","","","call-function","6","null","18022","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","","",""
"","","","","","call-function","7","null","18022","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","22574","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","9","2.0.0","26808","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","10","2.0.0","31905","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","11","2.0.0","34409","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","12","2.0.0","38640","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","13","2.0.0","41960","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","14","2.0.0","45504","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","15","2.0.0","47979","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","16","2.0.0","48185","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","17","2.0.0","51096","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","18","2.0.0","51557","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","19","2.0.0","55453","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","20","2.0.0","56213","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","21","2.0.0","60322","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","22","2.0.0","60416","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","23","2.0.0","63892","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","24","2.0.0","64431","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","25","2.0.0","67912","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","26","2.0.0","67915","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","27","2.0.0","72697","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","28","2.0.0","73219","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","29","2.0.0","73709","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","30","2.0.0","76463","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","31","2.0.0","77046","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","32","2.0.0","78501","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","33","2.0.0","81222","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","34","2.0.0","81318","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","35","2.0.0","85246","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-keyboard-response","36","2.0.0","85626","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP2","Treasurer",""
"","","","","","html-keyboard-response","37","2.0.0","88157","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","SP1","Treasurer",""
"","","","","","html-keyboard-response","38","2.0.0","90258","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP1",""
"","","","","","html-keyboard-response","39","2.0.0","92407","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","Treasurer","SP2",""
"","","","","","html-button-response","40","2.0.0","93705","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","end_game","","","","","","","SP2","Treasurer",""
"","","","","","survey-text","41","2.0.0","103067","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","comprehension_check","9360","","{""SP1_ball_received_T"":""9"",""SP2_ball_received_T"":""8""}","","","","","",""
"","","","","","html-slider-response","42","2.0.0","127491","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","24423","
  <p style=""width: 1000px; padding: 10px"">
    You may choose to reduce SP2’s earnings by giving up some of your own earnings. This is a <u>one-time, one-sided decision</u>. This means only you make this decision; SP2 will not make a corresponding decision.<br><br>

    For every <b>$0.01</b> you give up, SP2’s earnings are reduced by <b>$0.05</b>.<br>
    For example, giving up <b>$0.03</b> reduces SP2’s earnings by <b>$0.15</b>. Choosing $0 means no change to either participant's earnings.<br>
    Earnings for either participant cannot go below <b>$0</b>.<br><br>

    You may move the slider below to see how different choices would affect both participants’ earnings. Moving the slider does not finalize your decision. Your decision is only locked in once you click 'Continue' and move on to the next task.<br><br>

    There is no correct or expected choice. Please use the slider to indicate how much of your own earnings you would like to give up in order to reduce SP2's earnings.
    </p>

  <div style=""
    display:flex;
    justify-content:center;
    gap:100px;
    margin:30px 0;
    align-items:flex-end;
  "">

    <div style=""text-align:center;"">
      <div id=""sp1-baseline"" style=""font-weight: bold; margin-bottom:6px;"">$0.00</div>
      <div id=""sp1-coins""></div>
      <div style=""margin-top:6px;"">You (SP1)</div>
    </div>

    <div style=""text-align:center;"">
      <div id=""sp2-baseline"" style=""font-weight: bold; margin-bottom:6px;"">$0.00</div>
      <div id=""sp2-coins""></div>
      <div style=""margin-top:6px;"">SP2</div>
    </div>

  </div>
  ","0","","","","","","0"
"","","","","","call-function","43","null","127497","sgnvtvhqlz","2026-02-08","cd96","null","6987dd8185bf003c69e5d1b7","Pilot_1","1","1","9","0.45","8","0.40","9","","8","0","","","","","","","","","",""
